step 0: train loss 3.7578, val loss 3.7568
iter 14600: loss 0.3517, time 604.10ms, mfu 28.76%
iter 14650: loss 0.3464, time 606.27ms, mfu 28.76%
iter 14700: loss 0.3397, time 604.57ms, mfu 28.76%
iter 14750: loss 0.3538, time 603.69ms, mfu 28.77%
iter 14800: loss 0.3489, time 610.28ms, mfu 28.75%
iter 14850: loss 0.3402, time 604.27ms, mfu 28.76%
iter 14900: loss 0.3420, time 606.11ms, mfu 28.76%
iter 14950: loss 0.3503, time 609.35ms, mfu 28.75%
iter 15000: loss 0.3473, time 604.27ms, mfu 28.76%
iter 15050: loss 0.3402, time 604.02ms, mfu 28.77%
iter 15100: loss 0.3396, time 602.85ms, mfu 28.78%
iter 15150: loss 0.3525, time 602.88ms, mfu 28.79%
iter 15200: loss 0.3526, time 604.52ms, mfu 28.80%
iter 15250: loss 0.3375, time 603.73ms, mfu 28.81%
iter 15300: loss 0.3388, time 607.92ms, mfu 28.79%
iter 15350: loss 0.3456, time 603.53ms, mfu 28.80%
iter 15400: loss 0.3539, time 608.43ms, mfu 28.79%
iter 15450: loss 0.3530, time 602.04ms, mfu 28.80%
iter 15500: loss 0.3562, time 605.24ms, mfu 28.80%
iter 15550: loss 0.3388, time 614.76ms, mfu 28.76%
iter 15600: loss 0.3474, time 603.95ms, mfu 28.77%
iter 15650: loss 0.3440, time 609.40ms, mfu 28.75%
iter 15700: loss 0.3554, time 604.30ms, mfu 28.76%
iter 15750: loss 0.3451, time 604.76ms, mfu 28.77%
iter 15800: loss 0.3556, time 602.53ms, mfu 28.78%
iter 15850: loss 0.3378, time 603.80ms, mfu 28.79%
iter 15900: loss 0.3446, time 603.29ms, mfu 28.80%
iter 15950: loss 0.3442, time 604.58ms, mfu 28.80%
step 16000: train loss 0.3442, val loss 0.3451
saving checkpoint to out-stockfish_xl
iter 16000: loss 0.3462, time 21141.78ms, mfu 26.01%
iter 16050: loss 0.3450, time 602.70ms, mfu 26.30%
iter 16100: loss 0.3487, time 602.05ms, mfu 26.56%
iter 16150: loss 0.3306, time 602.26ms, mfu 26.80%
iter 16200: loss 0.3551, time 606.73ms, mfu 26.99%
iter 16250: loss 0.3437, time 602.97ms, mfu 27.18%
iter 16300: loss 0.3492, time 609.09ms, mfu 27.33%
iter 16350: loss 0.3509, time 603.17ms, mfu 27.49%
iter 16400: loss 0.3425, time 611.33ms, mfu 27.59%
iter 16450: loss 0.3539, time 603.94ms, mfu 27.72%
iter 16500: loss 0.3451, time 601.30ms, mfu 27.84%
iter 16550: loss 0.3423, time 603.05ms, mfu 27.95%
iter 16600: loss 0.3428, time 606.51ms, mfu 28.03%
iter 16650: loss 0.3389, time 605.94ms, mfu 28.10%
iter 16700: loss 0.3402, time 602.08ms, mfu 28.19%
iter 16750: loss 0.3371, time 605.60ms, mfu 28.25%
iter 16800: loss 0.3353, time 602.18ms, mfu 28.32%
iter 16850: loss 0.3390, time 602.77ms, mfu 28.38%
iter 16900: loss 0.3437, time 603.13ms, mfu 28.43%
iter 16950: loss 0.3497, time 604.81ms, mfu 28.47%
iter 17000: loss 0.3400, time 604.90ms, mfu 28.50%
iter 17050: loss 0.3508, time 610.07ms, mfu 28.51%
iter 17100: loss 0.3335, time 604.04ms, mfu 28.54%
iter 17150: loss 0.3437, time 603.81ms, mfu 28.58%
iter 17200: loss 0.3316, time 602.17ms, mfu 28.61%
iter 17250: loss 0.3399, time 604.40ms, mfu 28.64%
iter 17300: loss 0.3402, time 602.61ms, mfu 28.66%
iter 17350: loss 0.3491, time 603.31ms, mfu 28.69%
iter 17400: loss 0.3442, time 601.54ms, mfu 28.72%
iter 17450: loss 0.3570, time 606.39ms, mfu 28.72%
iter 17500: loss 0.3281, time 604.34ms, mfu 28.73%
iter 17550: loss 0.3404, time 605.60ms, mfu 28.74%
iter 17600: loss 0.3388, time 609.97ms, mfu 28.72%
iter 17650: loss 0.3459, time 603.67ms, mfu 28.74%
iter 17700: loss 0.3445, time 604.47ms, mfu 28.75%
iter 17750: loss 0.3365, time 605.44ms, mfu 28.75%
iter 17800: loss 0.3504, time 605.36ms, mfu 28.75%
iter 17850: loss 0.3333, time 604.54ms, mfu 28.76%
iter 17900: loss 0.3461, time 604.88ms, mfu 28.77%
iter 17950: loss 0.3364, time 613.22ms, mfu 28.73%
iter 18000: loss 0.3374, time 604.11ms, mfu 28.75%
iter 18050: loss 0.3369, time 603.73ms, mfu 28.76%
iter 18100: loss 0.3363, time 607.59ms, mfu 28.75%
iter 18150: loss 0.3377, time 604.33ms, mfu 28.76%
iter 18200: loss 0.3364, time 605.52ms, mfu 28.76%
iter 18250: loss 0.3394, time 606.55ms, mfu 28.76%
iter 18300: loss 0.3401, time 603.45ms, mfu 28.77%
iter 18350: loss 0.3416, time 603.75ms, mfu 28.78%
iter 18400: loss 0.3419, time 601.68ms, mfu 28.80%
iter 18450: loss 0.3427, time 602.59ms, mfu 28.81%
iter 18500: loss 0.3454, time 605.53ms, mfu 28.81%
iter 18550: loss 0.3444, time 604.30ms, mfu 28.81%
iter 18600: loss 0.3268, time 609.37ms, mfu 28.79%
iter 18650: loss 0.3386, time 604.89ms, mfu 28.80%
iter 18700: loss 0.3301, time 604.30ms, mfu 28.80%
iter 18750: loss 0.3510, time 603.63ms, mfu 28.81%
iter 18800: loss 0.3523, time 603.90ms, mfu 28.81%
iter 18850: loss 0.3316, time 604.14ms, mfu 28.82%
iter 18900: loss 0.3403, time 601.80ms, mfu 28.83%
iter 18950: loss 0.3458, time 603.69ms, mfu 28.84%
iter 19000: loss 0.3349, time 604.09ms, mfu 28.84%
iter 19050: loss 0.3288, time 610.02ms, mfu 28.81%
iter 19100: loss 0.3277, time 603.58ms, mfu 28.82%
iter 19150: loss 0.3346, time 604.66ms, mfu 28.82%
iter 19200: loss 0.3365, time 602.91ms, mfu 28.83%
iter 19250: loss 0.3400, time 603.60ms, mfu 28.83%
iter 19300: loss 0.3411, time 606.22ms, mfu 28.82%
iter 19350: loss 0.3380, time 602.03ms, mfu 28.84%
iter 19400: loss 0.3464, time 602.41ms, mfu 28.85%
iter 19450: loss 0.3345, time 604.19ms, mfu 28.85%
iter 19500: loss 0.3379, time 604.24ms, mfu 28.85%
iter 19550: loss 0.3381, time 605.26ms, mfu 28.84%
iter 19600: loss 0.3358, time 602.94ms, mfu 28.85%
iter 19650: loss 0.3407, time 605.67ms, mfu 28.84%
iter 19700: loss 0.3404, time 603.98ms, mfu 28.84%
iter 19750: loss 0.3276, time 604.79ms, mfu 28.84%
iter 19800: loss 0.3304, time 605.18ms, mfu 28.84%
iter 19850: loss 0.3335, time 602.36ms, mfu 28.85%
iter 19900: loss 0.3376, time 602.80ms, mfu 28.85%
iter 19950: loss 0.3417, time 604.87ms, mfu 28.85%
step 20000: train loss 0.3348, val loss 0.3355
saving checkpoint to out-stockfish_xl
iter 20000: loss 0.3404, time 21125.86ms, mfu 26.05%
iter 20050: loss 0.3308, time 601.34ms, mfu 26.34%
iter 20100: loss 0.3416, time 604.72ms, mfu 26.59%
iter 20150: loss 0.3395, time 603.78ms, mfu 26.82%
iter 20200: loss 0.3303, time 603.40ms, mfu 27.02%
iter 20250: loss 0.3333, time 603.38ms, mfu 27.21%
iter 20300: loss 0.3275, time 603.36ms, mfu 27.38%
iter 20350: loss 0.3370, time 605.31ms, mfu 27.52%
iter 20400: loss 0.3376, time 605.28ms, mfu 27.65%
iter 20450: loss 0.3447, time 609.27ms, mfu 27.74%
iter 20500: loss 0.3324, time 602.54ms, mfu 27.86%
iter 20550: loss 0.3321, time 604.56ms, mfu 27.96%
iter 20600: loss 0.3380, time 604.80ms, mfu 28.05%
iter 20650: loss 0.3346, time 608.42ms, mfu 28.11%
iter 20700: loss 0.3351, time 603.04ms, mfu 28.19%
iter 20750: loss 0.3277, time 603.51ms, mfu 28.26%
iter 20800: loss 0.3412, time 603.16ms, mfu 28.32%
iter 20850: loss 0.3339, time 602.64ms, mfu 28.38%
iter 20900: loss 0.3360, time 604.56ms, mfu 28.43%
iter 20950: loss 0.3339, time 605.25ms, mfu 28.46%
iter 21000: loss 0.3345, time 607.35ms, mfu 28.49%
iter 21050: loss 0.3321, time 604.02ms, mfu 28.52%
iter 21100: loss 0.3324, time 603.89ms, mfu 28.56%
iter 21150: loss 0.3286, time 609.16ms, mfu 28.56%
iter 21200: loss 0.3384, time 604.67ms, mfu 28.59%
iter 21250: loss 0.3310, time 604.59ms, mfu 28.61%
iter 21300: loss 0.3295, time 603.11ms, mfu 28.64%
iter 21350: loss 0.3376, time 604.23ms, mfu 28.66%
iter 21400: loss 0.3339, time 604.47ms, mfu 28.68%
iter 21450: loss 0.3462, time 607.17ms, mfu 28.68%
iter 21500: loss 0.3300, time 603.53ms, mfu 28.70%
iter 21550: loss 0.3349, time 605.84ms, mfu 28.71%
iter 21600: loss 0.3392, time 608.49ms, mfu 28.70%
iter 21650: loss 0.3273, time 604.63ms, mfu 28.72%
iter 21700: loss 0.3307, time 603.25ms, mfu 28.73%
iter 21750: loss 0.3385, time 604.05ms, mfu 28.75%
iter 21800: loss 0.3297, time 604.88ms, mfu 28.75%
iter 21850: loss 0.3253, time 606.03ms, mfu 28.75%
iter 21900: loss 0.3238, time 605.62ms, mfu 28.76%
