step 0: train loss 3.5875, val loss 3.5876
iter 9450: loss 0.3835, time 465.06ms, mfu 27.24%
iter 9500: loss 0.3818, time 467.98ms, mfu 27.22%
iter 9550: loss 0.4110, time 459.89ms, mfu 27.26%
iter 9600: loss 0.3911, time 464.52ms, mfu 27.26%
iter 9650: loss 0.3868, time 464.58ms, mfu 27.26%
iter 9700: loss 0.3815, time 463.22ms, mfu 27.27%
iter 9750: loss 0.3939, time 471.10ms, mfu 27.24%
iter 9800: loss 0.3916, time 464.75ms, mfu 27.24%
iter 9850: loss 0.3979, time 465.39ms, mfu 27.24%
iter 9900: loss 0.3834, time 460.67ms, mfu 27.27%
iter 9950: loss 0.3975, time 472.89ms, mfu 27.22%
iter 10000: loss 0.3870, time 466.58ms, mfu 27.22%
iter 10050: loss 0.3866, time 467.99ms, mfu 27.20%
iter 10100: loss 0.3870, time 465.80ms, mfu 27.21%
iter 10150: loss 0.3840, time 466.75ms, mfu 27.20%
iter 10200: loss 0.3827, time 465.17ms, mfu 27.21%
iter 10250: loss 0.3786, time 467.74ms, mfu 27.20%
iter 10300: loss 0.3861, time 463.33ms, mfu 27.21%
iter 10350: loss 0.3879, time 466.72ms, mfu 27.21%
iter 10400: loss 0.3943, time 470.50ms, mfu 27.18%
iter 10450: loss 0.3939, time 463.42ms, mfu 27.20%
iter 10500: loss 0.3717, time 466.00ms, mfu 27.20%
iter 10550: loss 0.3747, time 466.92ms, mfu 27.19%
iter 10600: loss 0.3913, time 461.30ms, mfu 27.22%
iter 10650: loss 0.3890, time 460.67ms, mfu 27.25%
iter 10700: loss 0.3899, time 467.97ms, mfu 27.24%
iter 10750: loss 0.3773, time 463.03ms, mfu 27.25%
iter 10800: loss 0.3827, time 461.26ms, mfu 27.27%
iter 10850: loss 0.3827, time 466.68ms, mfu 27.26%
iter 10900: loss 0.3826, time 464.86ms, mfu 27.26%
iter 10950: loss 0.3871, time 464.23ms, mfu 27.27%
iter 11000: loss 0.3903, time 465.27ms, mfu 27.27%
iter 11050: loss 0.3843, time 468.05ms, mfu 27.25%
iter 11100: loss 0.3832, time 466.49ms, mfu 27.24%
iter 11150: loss 0.3827, time 463.10ms, mfu 27.25%
iter 11200: loss 0.3887, time 468.05ms, mfu 27.24%
iter 11250: loss 0.3794, time 460.14ms, mfu 27.27%
iter 11300: loss 0.3850, time 465.69ms, mfu 27.26%
iter 11350: loss 0.3944, time 468.81ms, mfu 27.24%
iter 11400: loss 0.3891, time 465.29ms, mfu 27.24%
iter 11450: loss 0.3780, time 460.60ms, mfu 27.27%
iter 11500: loss 0.3884, time 468.17ms, mfu 27.25%
iter 11550: loss 0.3853, time 466.04ms, mfu 27.25%
iter 11600: loss 0.3817, time 462.33ms, mfu 27.26%
iter 11650: loss 0.3945, time 464.65ms, mfu 27.27%
iter 11700: loss 0.3702, time 462.86ms, mfu 27.28%
iter 11750: loss 0.3755, time 469.48ms, mfu 27.25%
iter 11800: loss 0.3770, time 463.98ms, mfu 27.26%
iter 11850: loss 0.3747, time 464.37ms, mfu 27.26%
iter 11900: loss 0.3759, time 466.84ms, mfu 27.25%
iter 11950: loss 0.3762, time 463.06ms, mfu 27.26%
step 12000: train loss 0.3809, val loss 0.3816
saving checkpoint to out-stockfish
iter 12000: loss 0.3729, time 10828.84ms, mfu 24.65%
iter 12050: loss 0.3753, time 472.04ms, mfu 24.88%
iter 12100: loss 0.3911, time 455.18ms, mfu 25.17%
iter 12150: loss 0.3808, time 460.05ms, mfu 25.41%
iter 12200: loss 0.3739, time 453.49ms, mfu 25.67%
iter 12250: loss 0.3678, time 460.51ms, mfu 25.85%
iter 12300: loss 0.3821, time 461.48ms, mfu 26.01%
iter 12350: loss 0.3800, time 453.55ms, mfu 26.21%
iter 12400: loss 0.3851, time 454.05ms, mfu 26.38%
iter 12450: loss 0.3829, time 458.31ms, mfu 26.51%
iter 12500: loss 0.3827, time 457.57ms, mfu 26.63%
iter 12550: loss 0.3802, time 455.92ms, mfu 26.74%
iter 12600: loss 0.3827, time 464.81ms, mfu 26.80%
iter 12650: loss 0.3726, time 453.52ms, mfu 26.91%
iter 12700: loss 0.3759, time 454.33ms, mfu 27.01%
iter 12750: loss 0.3771, time 456.99ms, mfu 27.09%
iter 12800: loss 0.3696, time 456.98ms, mfu 27.15%
iter 12850: loss 0.3891, time 462.88ms, mfu 27.17%
iter 12900: loss 0.3726, time 458.14ms, mfu 27.22%
iter 12950: loss 0.3700, time 456.45ms, mfu 27.28%
iter 13000: loss 0.3747, time 455.59ms, mfu 27.33%
iter 13050: loss 0.3819, time 459.74ms, mfu 27.36%
iter 13100: loss 0.3784, time 460.32ms, mfu 27.38%
iter 13150: loss 0.3784, time 456.44ms, mfu 27.42%
iter 13200: loss 0.3769, time 456.79ms, mfu 27.45%
iter 13250: loss 0.3642, time 454.17ms, mfu 27.50%
iter 13300: loss 0.3691, time 454.65ms, mfu 27.54%
iter 13350: loss 0.3731, time 457.07ms, mfu 27.56%
iter 13400: loss 0.3741, time 457.95ms, mfu 27.57%
iter 13450: loss 0.3810, time 460.72ms, mfu 27.56%
iter 13500: loss 0.3731, time 454.44ms, mfu 27.60%
iter 13550: loss 0.3729, time 481.24ms, mfu 27.47%
iter 13600: loss 0.3731, time 473.76ms, mfu 27.40%
iter 13650: loss 0.3771, time 456.37ms, mfu 27.44%
iter 13700: loss 0.3750, time 454.20ms, mfu 27.49%
iter 13750: loss 0.3773, time 457.14ms, mfu 27.51%
iter 13800: loss 0.3817, time 462.44ms, mfu 27.50%
iter 13850: loss 0.3733, time 456.26ms, mfu 27.53%
iter 13900: loss 0.3751, time 453.29ms, mfu 27.57%
iter 13950: loss 0.3833, time 462.50ms, mfu 27.56%
iter 14000: loss 0.3699, time 459.72ms, mfu 27.56%
iter 14050: loss 0.3738, time 455.54ms, mfu 27.59%
iter 14100: loss 0.3676, time 454.33ms, mfu 27.62%
iter 14150: loss 0.3706, time 465.78ms, mfu 27.58%
iter 14200: loss 0.3758, time 454.89ms, mfu 27.61%
iter 14250: loss 0.3665, time 477.08ms, mfu 27.50%
iter 14300: loss 0.3776, time 458.37ms, mfu 27.52%
iter 14350: loss 0.3657, time 461.91ms, mfu 27.51%
iter 14400: loss 0.3667, time 456.89ms, mfu 27.54%
iter 14450: loss 0.3776, time 459.74ms, mfu 27.54%
iter 14500: loss 0.3695, time 458.85ms, mfu 27.55%
iter 14550: loss 0.3646, time 471.30ms, mfu 27.48%
iter 14600: loss 0.3626, time 465.96ms, mfu 27.46%
iter 14650: loss 0.3625, time 457.04ms, mfu 27.48%
iter 14700: loss 0.3729, time 478.93ms, mfu 27.38%
iter 14750: loss 0.3715, time 459.05ms, mfu 27.41%
