step 0: train loss 3.7095, val loss 3.7091
iter 8950: loss 0.5118, time 105.56ms, mfu 26.30%
iter 9000: loss 0.5346, time 106.36ms, mfu 26.28%
iter 9050: loss 0.5197, time 101.89ms, mfu 26.38%
iter 9100: loss 0.5179, time 105.16ms, mfu 26.38%
iter 9150: loss 0.5112, time 105.44ms, mfu 26.38%
iter 9200: loss 0.5011, time 105.37ms, mfu 26.38%
iter 9250: loss 0.4778, time 105.34ms, mfu 26.37%
iter 9300: loss 0.5012, time 101.95ms, mfu 26.46%
iter 9350: loss 0.5251, time 101.97ms, mfu 26.54%
iter 9400: loss 0.4977, time 101.89ms, mfu 26.61%
iter 9450: loss 0.5104, time 101.91ms, mfu 26.68%
iter 9500: loss 0.4982, time 105.27ms, mfu 26.65%
iter 9550: loss 0.5115, time 105.27ms, mfu 26.62%
iter 9600: loss 0.5173, time 105.11ms, mfu 26.60%
iter 9650: loss 0.4782, time 106.25ms, mfu 26.56%
iter 9700: loss 0.5023, time 104.82ms, mfu 26.55%
iter 9750: loss 0.4949, time 101.89ms, mfu 26.62%
iter 9800: loss 0.5030, time 101.82ms, mfu 26.69%
iter 9850: loss 0.5088, time 101.96ms, mfu 26.74%
iter 9900: loss 0.4854, time 101.86ms, mfu 26.79%
iter 9950: loss 0.5045, time 101.88ms, mfu 26.84%
iter 10000: loss 0.5123, time 101.92ms, mfu 26.88%
iter 10050: loss 0.5164, time 101.89ms, mfu 26.92%
iter 10100: loss 0.5025, time 101.88ms, mfu 26.95%
iter 10150: loss 0.5129, time 101.99ms, mfu 26.98%
iter 10200: loss 0.4912, time 105.98ms, mfu 26.91%
iter 10250: loss 0.4831, time 123.09ms, mfu 26.47%
iter 10300: loss 0.5116, time 120.67ms, mfu 26.13%
iter 10350: loss 0.5128, time 124.55ms, mfu 25.74%
iter 10400: loss 0.5022, time 106.84ms, mfu 25.77%
iter 10450: loss 0.5251, time 105.35ms, mfu 25.83%
iter 10500: loss 0.5084, time 101.91ms, mfu 25.97%
iter 10550: loss 0.5232, time 106.26ms, mfu 25.99%
iter 10600: loss 0.5040, time 105.74ms, mfu 26.02%
iter 10650: loss 0.4684, time 105.37ms, mfu 26.05%
iter 10700: loss 0.4966, time 106.12ms, mfu 26.06%
iter 10750: loss 0.4902, time 101.96ms, mfu 26.18%
iter 10800: loss 0.5042, time 106.21ms, mfu 26.18%
iter 10850: loss 0.5014, time 101.91ms, mfu 26.29%
iter 10900: loss 0.5190, time 101.91ms, mfu 26.38%
iter 10950: loss 0.4906, time 104.87ms, mfu 26.39%
iter 11000: loss 0.4999, time 101.96ms, mfu 26.48%
iter 11050: loss 0.5053, time 105.15ms, mfu 26.47%
iter 11100: loss 0.5027, time 104.74ms, mfu 26.48%
iter 11150: loss 0.5185, time 101.93ms, mfu 26.55%
iter 11200: loss 0.4992, time 105.82ms, mfu 26.52%
iter 11250: loss 0.4791, time 101.98ms, mfu 26.59%
iter 11300: loss 0.4834, time 101.89ms, mfu 26.66%
iter 11350: loss 0.5066, time 101.88ms, mfu 26.72%
iter 11400: loss 0.5001, time 101.95ms, mfu 26.77%
iter 11450: loss 0.5101, time 101.93ms, mfu 26.82%
iter 11500: loss 0.4994, time 224.33ms, mfu 25.38%
iter 11550: loss 0.5078, time 224.39ms, mfu 24.08%
iter 11600: loss 0.4986, time 223.89ms, mfu 22.91%
iter 11650: loss 0.5159, time 221.45ms, mfu 21.87%
iter 11700: loss 0.5054, time 101.94ms, mfu 22.41%
iter 11750: loss 0.4989, time 105.19ms, mfu 22.81%
iter 11800: loss 0.5095, time 101.98ms, mfu 23.25%
iter 11850: loss 0.4979, time 102.00ms, mfu 23.65%
iter 11900: loss 0.4935, time 101.91ms, mfu 24.01%
iter 11950: loss 0.4953, time 101.95ms, mfu 24.33%
step 12000: train loss 0.4973, val loss 0.4980
saving checkpoint to out-stockfish
iter 12000: loss 0.5122, time 2542.44ms, mfu 22.01%
iter 12050: loss 0.5003, time 101.93ms, mfu 22.53%
iter 12100: loss 0.4923, time 101.92ms, mfu 23.01%
iter 12150: loss 0.5133, time 105.82ms, mfu 23.33%
iter 12200: loss 0.4965, time 104.83ms, mfu 23.65%
iter 12250: loss 0.5199, time 104.70ms, mfu 23.94%
iter 12300: loss 0.4815, time 106.46ms, mfu 24.15%
iter 12350: loss 0.4927, time 106.15ms, mfu 24.35%
iter 12400: loss 0.4787, time 101.92ms, mfu 24.64%
iter 12450: loss 0.4731, time 101.91ms, mfu 24.90%
iter 12500: loss 0.5146, time 101.89ms, mfu 25.14%
iter 12550: loss 0.4776, time 101.99ms, mfu 25.35%
iter 12600: loss 0.4895, time 102.00ms, mfu 25.54%
iter 12650: loss 0.4922, time 101.89ms, mfu 25.71%
iter 12700: loss 0.5027, time 101.96ms, mfu 25.86%
iter 12750: loss 0.5014, time 101.93ms, mfu 26.00%
iter 12800: loss 0.4795, time 101.87ms, mfu 26.13%
iter 12850: loss 0.4682, time 101.90ms, mfu 26.24%
iter 12900: loss 0.4837, time 101.93ms, mfu 26.34%
iter 12950: loss 0.5077, time 101.93ms, mfu 26.43%
iter 13000: loss 0.4877, time 101.95ms, mfu 26.51%
iter 13050: loss 0.4934, time 101.89ms, mfu 26.59%
iter 13100: loss 0.4984, time 101.92ms, mfu 26.65%
iter 13150: loss 0.5029, time 101.92ms, mfu 26.71%
iter 13200: loss 0.4950, time 101.89ms, mfu 26.77%
iter 13250: loss 0.4973, time 101.88ms, mfu 26.82%
iter 13300: loss 0.5113, time 101.94ms, mfu 26.86%
iter 13350: loss 0.4843, time 101.89ms, mfu 26.90%
iter 13400: loss 0.4672, time 101.95ms, mfu 26.94%
iter 13450: loss 0.4862, time 101.86ms, mfu 26.97%
iter 13500: loss 0.4697, time 101.93ms, mfu 27.00%
iter 13550: loss 0.4867, time 104.94ms, mfu 26.94%
iter 13600: loss 0.5034, time 101.93ms, mfu 26.97%
iter 13650: loss 0.5068, time 101.89ms, mfu 27.00%
iter 13700: loss 0.5007, time 101.97ms, mfu 27.03%
iter 13750: loss 0.4980, time 106.29ms, mfu 26.94%
iter 13800: loss 0.5154, time 105.78ms, mfu 26.87%
iter 13850: loss 0.5159, time 101.99ms, mfu 26.91%
iter 13900: loss 0.4908, time 101.94ms, mfu 26.94%
iter 13950: loss 0.5024, time 101.97ms, mfu 26.97%
iter 14000: loss 0.4870, time 102.03ms, mfu 27.00%
iter 14050: loss 0.4936, time 101.95ms, mfu 27.02%
iter 14100: loss 0.5153, time 101.97ms, mfu 27.04%
iter 14150: loss 0.4907, time 105.32ms, mfu 26.98%
iter 14200: loss 0.4988, time 105.07ms, mfu 26.92%
iter 14250: loss 0.5029, time 105.28ms, mfu 26.87%
iter 14300: loss 0.4836, time 105.46ms, mfu 26.81%
iter 14350: loss 0.4848, time 105.22ms, mfu 26.77%
iter 14400: loss 0.4959, time 105.25ms, mfu 26.73%
iter 14450: loss 0.5134, time 106.20ms, mfu 26.68%
iter 14500: loss 0.5041, time 105.38ms, mfu 26.64%
iter 14550: loss 0.4909, time 105.45ms, mfu 26.61%
iter 14600: loss 0.4695, time 104.50ms, mfu 26.61%
iter 14650: loss 0.4853, time 104.48ms, mfu 26.61%
iter 14700: loss 0.5136, time 102.00ms, mfu 26.67%
iter 14750: loss 0.4737, time 105.16ms, mfu 26.64%
iter 14800: loss 0.4608, time 105.83ms, mfu 26.61%
iter 14850: loss 0.4878, time 105.85ms, mfu 26.57%
iter 14900: loss 0.4617, time 101.97ms, mfu 26.64%
iter 14950: loss 0.5164, time 101.93ms, mfu 26.70%
iter 15000: loss 0.4763, time 101.94ms, mfu 26.75%
iter 15050: loss 0.4882, time 106.11ms, mfu 26.69%
iter 15100: loss 0.4923, time 104.97ms, mfu 26.67%
iter 15150: loss 0.5147, time 105.61ms, mfu 26.63%
iter 15200: loss 0.4895, time 105.89ms, mfu 26.59%
iter 15250: loss 0.4884, time 101.91ms, mfu 26.66%
iter 15300: loss 0.4748, time 105.56ms, mfu 26.63%
iter 15350: loss 0.4977, time 106.16ms, mfu 26.58%
iter 15400: loss 0.4681, time 105.03ms, mfu 26.57%
iter 15450: loss 0.5003, time 105.67ms, mfu 26.54%
iter 15500: loss 0.5111, time 104.96ms, mfu 26.53%
iter 15550: loss 0.5025, time 105.17ms, mfu 26.52%
iter 15600: loss 0.4903, time 106.00ms, mfu 26.49%
iter 15650: loss 0.4879, time 102.01ms, mfu 26.56%
iter 15700: loss 0.4652, time 102.00ms, mfu 26.63%
iter 15750: loss 0.4846, time 101.99ms, mfu 26.69%
iter 15800: loss 0.5120, time 101.93ms, mfu 26.74%
iter 15850: loss 0.4847, time 102.00ms, mfu 26.79%
iter 15900: loss 0.4879, time 105.30ms, mfu 26.75%
iter 15950: loss 0.4827, time 101.96ms, mfu 26.80%
step 16000: train loss 0.4873, val loss 0.4871
saving checkpoint to out-stockfish
iter 16000: loss 0.4744, time 2550.78ms, mfu 24.23%
iter 16050: loss 0.4795, time 101.79ms, mfu 24.54%
iter 16100: loss 0.4672, time 105.22ms, mfu 24.72%
iter 16150: loss 0.4806, time 105.09ms, mfu 24.89%
iter 16200: loss 0.5018, time 105.45ms, mfu 25.04%
iter 16250: loss 0.4884, time 104.75ms, mfu 25.19%
iter 16300: loss 0.5105, time 104.87ms, mfu 25.32%
iter 16350: loss 0.4706, time 105.84ms, mfu 25.41%
iter 16400: loss 0.4824, time 101.83ms, mfu 25.60%
iter 16450: loss 0.4509, time 101.85ms, mfu 25.76%
iter 16500: loss 0.4666, time 106.02ms, mfu 25.81%
iter 16550: loss 0.4733, time 105.08ms, mfu 25.87%
iter 16600: loss 0.4966, time 105.25ms, mfu 25.92%
iter 16650: loss 0.4744, time 106.32ms, mfu 25.94%
