step 0: train loss 3.5803, val loss 3.5800
iter 12650: loss 0.3956, time 230.55ms, mfu 27.10%
iter 12700: loss 0.3995, time 227.50ms, mfu 27.18%
iter 12750: loss 0.3932, time 230.43ms, mfu 27.21%
iter 12800: loss 0.4002, time 227.41ms, mfu 27.28%
iter 12850: loss 0.4007, time 230.43ms, mfu 27.30%
iter 12900: loss 0.3952, time 229.69ms, mfu 27.33%
iter 12950: loss 0.4014, time 227.85ms, mfu 27.38%
iter 13000: loss 0.3953, time 231.05ms, mfu 27.39%
iter 13050: loss 0.4055, time 227.45ms, mfu 27.44%
iter 13100: loss 0.4098, time 227.42ms, mfu 27.48%
iter 13150: loss 0.3986, time 229.44ms, mfu 27.50%
iter 13200: loss 0.4099, time 227.43ms, mfu 27.53%
iter 13250: loss 0.3984, time 227.37ms, mfu 27.57%
iter 13300: loss 0.4041, time 230.07ms, mfu 27.57%
iter 13350: loss 0.3981, time 228.63ms, mfu 27.58%
iter 13400: loss 0.4027, time 227.40ms, mfu 27.61%
iter 13450: loss 0.4058, time 227.44ms, mfu 27.64%
iter 13500: loss 0.3938, time 227.47ms, mfu 27.66%
iter 13550: loss 0.3955, time 229.99ms, mfu 27.65%
iter 13600: loss 0.4155, time 227.50ms, mfu 27.68%
iter 13650: loss 0.4014, time 227.51ms, mfu 27.69%
iter 13700: loss 0.4081, time 227.37ms, mfu 27.71%
iter 13750: loss 0.4062, time 227.36ms, mfu 27.73%
iter 13800: loss 0.3958, time 229.93ms, mfu 27.72%
iter 13850: loss 0.3940, time 230.21ms, mfu 27.70%
iter 13900: loss 0.4045, time 227.53ms, mfu 27.72%
iter 13950: loss 0.3965, time 230.04ms, mfu 27.70%
iter 14000: loss 0.4030, time 227.47ms, mfu 27.72%
iter 14050: loss 0.3930, time 227.44ms, mfu 27.73%
iter 14100: loss 0.4000, time 227.52ms, mfu 27.75%
iter 14150: loss 0.4024, time 230.41ms, mfu 27.72%
iter 14200: loss 0.3960, time 227.51ms, mfu 27.74%
