step 0: train loss 3.6089, val loss 3.6095
iter 6600: loss 0.3929, time 1212.03ms, mfu 31.28%
iter 6650: loss 0.3844, time 1215.22ms, mfu 31.28%
iter 6700: loss 0.3863, time 1216.56ms, mfu 31.28%
iter 6750: loss 0.3925, time 1216.46ms, mfu 31.28%
iter 6800: loss 0.3906, time 1215.84ms, mfu 31.28%
iter 6850: loss 0.3815, time 1216.26ms, mfu 31.28%
iter 6900: loss 0.3888, time 1215.75ms, mfu 31.28%
iter 6950: loss 0.3723, time 1212.63ms, mfu 31.29%
iter 7000: loss 0.3908, time 1216.60ms, mfu 31.28%
iter 7050: loss 0.3827, time 1212.89ms, mfu 31.29%
iter 7100: loss 0.3983, time 1214.03ms, mfu 31.29%
iter 7150: loss 0.3910, time 1215.88ms, mfu 31.29%
iter 7200: loss 0.3861, time 1218.15ms, mfu 31.28%
iter 7250: loss 0.3951, time 1215.54ms, mfu 31.28%
iter 7300: loss 0.3867, time 1217.40ms, mfu 31.28%
iter 7350: loss 0.3862, time 1217.09ms, mfu 31.28%
iter 7400: loss 0.4030, time 1216.26ms, mfu 31.27%
iter 7450: loss 0.3855, time 1213.35ms, mfu 31.28%
iter 7500: loss 0.3890, time 1215.20ms, mfu 31.28%
iter 7550: loss 0.3836, time 1213.60ms, mfu 31.29%
iter 7600: loss 0.3794, time 1218.82ms, mfu 31.28%
iter 7650: loss 0.3810, time 1219.83ms, mfu 31.27%
iter 7700: loss 0.3808, time 1218.60ms, mfu 31.26%
iter 7750: loss 0.3772, time 1215.42ms, mfu 31.26%
iter 7800: loss 0.3900, time 1215.84ms, mfu 31.27%
iter 7850: loss 0.3891, time 1217.46ms, mfu 31.26%
iter 7900: loss 0.3800, time 1216.27ms, mfu 31.26%
iter 7950: loss 0.3684, time 1216.75ms, mfu 31.26%
step 8000: train loss 0.3813, val loss 0.3805
saving checkpoint to out-stockfish-small-36
iter 8000: loss 0.3806, time 11946.93ms, mfu 28.45%
iter 8050: loss 0.3676, time 1219.19ms, mfu 28.73%
iter 8100: loss 0.3733, time 1214.96ms, mfu 28.98%
iter 8150: loss 0.3630, time 1216.75ms, mfu 29.21%
iter 8200: loss 0.3776, time 1217.70ms, mfu 29.41%
iter 8250: loss 0.3879, time 1216.64ms, mfu 29.60%
iter 8300: loss 0.3875, time 1216.51ms, mfu 29.76%
iter 8350: loss 0.3645, time 1212.46ms, mfu 29.92%
iter 8400: loss 0.3880, time 1216.38ms, mfu 30.06%
iter 8450: loss 0.3784, time 1215.63ms, mfu 30.18%
iter 8500: loss 0.3744, time 1217.95ms, mfu 30.28%
iter 8550: loss 0.3706, time 1216.39ms, mfu 30.38%
iter 8600: loss 0.3716, time 1214.58ms, mfu 30.47%
iter 8650: loss 0.3916, time 1216.19ms, mfu 30.55%
iter 8700: loss 0.3920, time 1214.40ms, mfu 30.63%
iter 8750: loss 0.3680, time 1215.02ms, mfu 30.70%
iter 8800: loss 0.3698, time 1218.63ms, mfu 30.75%
iter 8850: loss 0.3802, time 1214.76ms, mfu 30.80%
iter 8900: loss 0.3632, time 1215.10ms, mfu 30.85%
iter 8950: loss 0.3718, time 1213.50ms, mfu 30.90%
iter 9000: loss 0.3714, time 1216.68ms, mfu 30.94%
iter 9050: loss 0.3705, time 1217.95ms, mfu 30.96%
iter 9100: loss 0.3624, time 1217.54ms, mfu 30.99%
iter 9150: loss 0.3846, time 1214.73ms, mfu 31.02%
iter 9200: loss 0.3733, time 1217.86ms, mfu 31.04%
iter 9250: loss 0.3828, time 1215.63ms, mfu 31.07%
iter 9300: loss 0.3771, time 1216.63ms, mfu 31.09%
iter 9350: loss 0.3690, time 1217.01ms, mfu 31.10%
iter 9400: loss 0.3689, time 1214.48ms, mfu 31.12%
iter 9450: loss 0.3602, time 1214.34ms, mfu 31.14%
iter 9500: loss 0.3681, time 1215.27ms, mfu 31.16%
iter 9550: loss 0.3738, time 1218.62ms, mfu 31.16%
iter 9600: loss 0.3707, time 1217.47ms, mfu 31.17%
iter 9650: loss 0.3690, time 1217.72ms, mfu 31.17%
iter 9700: loss 0.3622, time 1218.48ms, mfu 31.18%
iter 9750: loss 0.3610, time 1215.65ms, mfu 31.19%
iter 9800: loss 0.3715, time 1216.67ms, mfu 31.20%
iter 9850: loss 0.3649, time 1217.11ms, mfu 31.20%
iter 9900: loss 0.3633, time 1213.52ms, mfu 31.21%
iter 9950: loss 0.3559, time 1213.39ms, mfu 31.23%
iter 10000: loss 0.3652, time 1215.56ms, mfu 31.23%
iter 10050: loss 0.3498, time 1216.25ms, mfu 31.24%
iter 10100: loss 0.3522, time 1217.67ms, mfu 31.23%
iter 10150: loss 0.3704, time 1214.48ms, mfu 31.24%
iter 10200: loss 0.3660, time 1217.32ms, mfu 31.24%
iter 10250: loss 0.3607, time 1214.70ms, mfu 31.25%
iter 10300: loss 0.3646, time 1218.55ms, mfu 31.24%
iter 10350: loss 0.3645, time 1218.57ms, mfu 31.24%
iter 10400: loss 0.3620, time 1215.76ms, mfu 31.24%
iter 10450: loss 0.3785, time 1212.74ms, mfu 31.26%
iter 10500: loss 0.3587, time 1213.98ms, mfu 31.26%
iter 10550: loss 0.3680, time 1219.62ms, mfu 31.25%
iter 10600: loss 0.3682, time 1218.10ms, mfu 31.25%
iter 10650: loss 0.3663, time 1214.90ms, mfu 31.26%
iter 10700: loss 0.3644, time 1216.56ms, mfu 31.26%
iter 10750: loss 0.3552, time 1215.50ms, mfu 31.26%
iter 10800: loss 0.3729, time 1217.10ms, mfu 31.26%
iter 10850: loss 0.3684, time 1213.98ms, mfu 31.26%
iter 10900: loss 0.3578, time 1216.96ms, mfu 31.26%
iter 10950: loss 0.3644, time 1217.89ms, mfu 31.26%
iter 11000: loss 0.3516, time 1213.36ms, mfu 31.27%
iter 11050: loss 0.3759, time 1219.20ms, mfu 31.26%
iter 11100: loss 0.3630, time 1214.79ms, mfu 31.26%
iter 11150: loss 0.3573, time 1213.59ms, mfu 31.27%
iter 11200: loss 0.3549, time 1213.49ms, mfu 31.28%
iter 11250: loss 0.3670, time 1215.01ms, mfu 31.28%
iter 11300: loss 0.3520, time 1219.26ms, mfu 31.27%
iter 11350: loss 0.3665, time 1215.62ms, mfu 31.27%
iter 11400: loss 0.3619, time 1215.75ms, mfu 31.27%
iter 11450: loss 0.3555, time 1215.72ms, mfu 31.27%
iter 11500: loss 0.3565, time 1215.41ms, mfu 31.27%
iter 11550: loss 0.3535, time 1213.53ms, mfu 31.28%
iter 11600: loss 0.3566, time 1215.05ms, mfu 31.28%
iter 11650: loss 0.3554, time 1212.98ms, mfu 31.29%
iter 11700: loss 0.3601, time 1215.49ms, mfu 31.29%
iter 11750: loss 0.3747, time 1214.64ms, mfu 31.29%
iter 11800: loss 0.3591, time 1212.85ms, mfu 31.30%
iter 11850: loss 0.3697, time 1213.74ms, mfu 31.30%
iter 11900: loss 0.3535, time 1215.91ms, mfu 31.30%
iter 11950: loss 0.3747, time 1217.37ms, mfu 31.29%
step 12000: train loss 0.3570, val loss 0.3559
saving checkpoint to out-stockfish-small-36
iter 12000: loss 0.3665, time 11872.50ms, mfu 28.48%
iter 12050: loss 0.3587, time 1215.83ms, mfu 28.76%
iter 12100: loss 0.3551, time 1214.89ms, mfu 29.02%
iter 12150: loss 0.3600, time 1219.49ms, mfu 29.23%
iter 12200: loss 0.3653, time 1215.15ms, mfu 29.44%
iter 12250: loss 0.3504, time 1218.28ms, mfu 29.62%
iter 12300: loss 0.3530, time 1217.02ms, mfu 29.78%
iter 12350: loss 0.3562, time 1215.76ms, mfu 29.93%
iter 12400: loss 0.3477, time 1215.87ms, mfu 30.06%
iter 12450: loss 0.3579, time 1214.34ms, mfu 30.19%
iter 12500: loss 0.3573, time 1216.99ms, mfu 30.29%
